ticker,earnings_date,eps_estimate,reported_eps,surprise_pct
AAPL,2026-04-30,1.94,,
AAPL,2026-01-29,2.67,2.84,6.25
AAPL,2025-10-30,1.77,1.85,4.52
AAPL,2025-07-31,1.43,1.57,9.48
AAPL,2025-05-01,1.63,1.65,1.5
AAPL,2025-01-30,2.35,2.4,2.26
AAPL,2024-10-31,1.6,1.64,2.28
AAPL,2024-08-01,1.34,1.4,4.3
AAPL,2024-05-02,1.51,1.53,1.46
AAPL,2024-02-01,2.1,2.18,3.66
AAPL,2023-11-02,1.39,1.46,4.93
AAPL,2023-08-03,1.19,1.26,5.66
AAPL,2023-05-04,1.43,1.52,6.28
AAPL,2023-02-02,1.95,1.88,-3.67
AAPL,2022-10-27,1.27,1.29,1.44
AAPL,2022-07-28,1.16,1.2,3.86
AAPL,2022-04-28,1.43,1.52,6.3
AAPL,2022-01-27,1.89,2.1,11.16
AAPL,2021-10-28,1.24,1.24,0.17
AAPL,2021-07-27,1.01,1.3,28.18
AAPL,2021-04-28,0.99,1.4,41.59
AAPL,2021-01-27,1.42,1.68,18.67
AAPL,2020-10-29,0.7,0.73,4.48
AAPL,2020-07-30,0.52,0.65,24.47
AAPL,2020-04-30,0.56,0.64,12.93
MSFT,2026-04-29,4.07,,
MSFT,2026-01-28,3.92,4.14,5.69
MSFT,2025-10-29,3.66,3.72,1.59
MSFT,2025-07-30,3.38,3.65,8.09
MSFT,2025-04-30,3.22,3.46,7.4
MSFT,2025-01-29,3.12,3.23,3.47
MSFT,2024-10-30,3.11,3.3,6.25
MSFT,2024-07-30,2.94,2.95,0.23
MSFT,2024-04-25,2.84,2.94,3.4
MSFT,2024-01-30,2.77,2.93,5.83
MSFT,2023-10-24,2.65,2.99,12.85
MSFT,2023-07-25,2.55,2.69,5.59
MSFT,2023-04-25,2.23,2.45,9.77
MSFT,2023-01-24,2.32,2.32,0.21
MSFT,2022-10-25,2.31,2.35,1.92
MSFT,2022-07-26,2.29,2.23,-2.69
MSFT,2022-04-26,2.2,2.22,1.06
MSFT,2022-01-25,2.32,2.48,6.97
MSFT,2021-10-26,2.08,2.27,9.3
MSFT,2021-07-27,1.93,2.17,12.71
MSFT,2021-04-27,1.78,1.95,9.67
MSFT,2021-01-26,1.64,2.03,23.99
MSFT,2020-10-27,1.55,1.82,17.72
MSFT,2020-07-22,1.37,1.46,6.42
MSFT,2020-04-29,1.27,1.4,10.34
GOOGL,2026-04-29,2.66,,
GOOGL,2026-02-04,2.64,2.82,7.01
GOOGL,2025-10-29,2.26,2.87,26.88
GOOGL,2025-07-23,2.19,2.31,5.67
GOOGL,2025-04-24,2.01,2.81,40.1
GOOGL,2025-02-04,2.13,2.15,1.18
GOOGL,2024-10-29,1.85,2.12,14.83
GOOGL,2024-07-23,1.84,1.89,2.54
GOOGL,2024-04-25,1.51,1.89,25.58
GOOGL,2024-01-30,1.6,1.64,2.53
GOOGL,2023-10-24,1.45,1.55,7.05
GOOGL,2023-07-25,1.34,1.44,7.23
GOOGL,2023-04-25,1.07,1.17,9.45
GOOGL,2023-02-02,1.19,1.05,-11.87
GOOGL,2022-10-25,1.26,1.06,-16.01
GOOGL,2022-07-26,1.29,1.21,-6.05
GOOGL,2022-04-26,1.28,1.23,-3.67
GOOGL,2022-02-01,1.36,1.53,12.65
GOOGL,2021-10-26,1.16,1.4,20.44
GOOGL,2021-07-27,0.96,1.36,42.7
GOOGL,2021-04-27,0.78,1.31,67.88
GOOGL,2021-02-02,0.79,1.12,41.85
GOOGL,2020-10-29,0.56,0.82,46.48
GOOGL,2020-07-30,0.41,0.51,24.14
GOOGL,2020-04-28,0.54,0.49,-8.29
AMZN,2026-04-30,1.65,,
AMZN,2026-02-05,1.96,1.95,-0.49
AMZN,2025-10-30,1.56,1.95,25.2
AMZN,2025-07-31,1.33,1.68,26.13
AMZN,2025-05-01,1.36,1.59,17.08
AMZN,2025-02-06,1.48,1.86,25.36
AMZN,2024-10-31,1.14,1.43,25.17
AMZN,2024-08-01,1.03,1.26,22.92
AMZN,2024-04-30,0.83,0.98,17.67
AMZN,2024-02-01,0.8,1.0,24.38
AMZN,2023-10-26,0.58,0.94,62.22
AMZN,2023-08-03,0.34,0.65,91.19
AMZN,2023-04-27,0.21,0.31,46.82
AMZN,2023-02-02,0.16,0.03,-81.68
AMZN,2022-10-27,0.21,0.28,33.0
AMZN,2022-07-28,0.12,-0.2,-273.3
AMZN,2022-04-28,0.41,-0.38,-191.55
AMZN,2022-02-03,0.19,1.39,641.94
AMZN,2021-10-28,0.44,0.31,-30.85
AMZN,2021-07-29,0.62,0.76,22.57
AMZN,2021-04-29,0.48,0.79,64.11
AMZN,2021-02-02,0.36,0.7,97.39
AMZN,2020-10-29,0.38,0.62,64.25
AMZN,2020-07-30,0.08,0.52,582.21
AMZN,2020-04-30,0.31,0.25,-19.8
META,2026-04-29,6.62,,
META,2026-01-28,8.18,8.88,8.6
META,2025-10-29,6.67,7.25,8.66
META,2025-07-30,5.9,7.14,20.96
META,2025-04-30,5.21,6.43,23.53
META,2025-01-29,6.74,8.02,19.0
META,2024-10-30,5.3,6.03,13.86
META,2024-07-31,4.78,5.16,7.9
META,2024-04-24,4.36,4.71,8.11
META,2024-02-01,4.94,5.33,7.88
META,2023-10-25,3.63,4.39,20.9
META,2023-07-26,2.91,2.98,2.51
META,2023-04-26,1.95,2.2,12.62
META,2023-02-01,2.23,1.76,-21.14
META,2022-10-26,1.86,1.64,-12.06
META,2022-07-27,2.55,2.46,-3.56
META,2022-04-27,2.53,2.72,7.57
META,2022-02-02,3.83,3.67,-4.06
META,2021-10-25,3.18,3.22,1.32
META,2021-07-28,3.01,3.61,20.04
META,2021-04-28,2.34,3.3,40.92
META,2021-01-27,3.2,3.88,21.43
META,2020-10-29,1.91,2.4,25.57
META,2020-07-30,1.4,1.8,28.88
META,2020-04-29,1.7,1.71,0.38
NVDA,2026-05-20,1.77,,
NVDA,2026-02-25,1.54,1.62,5.32
NVDA,2025-11-19,1.26,1.3,3.46
NVDA,2025-08-27,1.01,1.05,4.1
NVDA,2025-05-28,0.75,0.81,8.02
NVDA,2025-02-26,0.85,0.89,5.25
NVDA,2024-11-20,0.75,0.81,8.52
NVDA,2024-08-28,0.64,0.68,5.66
NVDA,2024-05-22,0.56,0.61,9.74
NVDA,2024-02-21,0.46,0.52,11.4
NVDA,2023-11-21,0.34,0.4,18.73
NVDA,2023-08-23,0.21,0.27,29.35
NVDA,2023-05-24,0.09,0.11,18.8
NVDA,2023-02-22,0.08,0.09,9.45
NVDA,2022-11-16,0.07,0.06,-17.32
NVDA,2022-08-24,0.05,0.05,-1.49
NVDA,2022-05-25,0.13,0.14,4.86
NVDA,2022-02-16,0.12,0.13,7.97
NVDA,2021-11-17,0.11,0.12,5.81
NVDA,2021-08-18,0.1,0.1,2.26
NVDA,2021-05-26,0.08,0.09,11.44
NVDA,2021-02-24,0.07,0.08,10.37
NVDA,2020-11-18,0.06,0.07,14.21
NVDA,2020-08-19,0.05,0.05,10.66
NVDA,2020-05-21,0.04,0.05,6.86
AMD,2026-05-05,1.27,,
AMD,2026-02-03,1.32,1.53,15.98
AMD,2025-11-04,0.68,0.75,10.04
AMD,2025-08-05,-0.05,0.54,1240.2
AMD,2025-05-06,0.93,0.96,2.83
AMD,2025-02-04,1.09,1.09,0.36
AMD,2024-10-29,0.92,0.92,0.46
AMD,2024-07-30,0.68,0.69,1.26
AMD,2024-04-30,0.61,0.62,2.04
AMD,2024-01-30,0.77,0.77,-0.01
AMD,2023-10-31,0.68,0.7,3.59
AMD,2023-08-01,0.57,0.58,1.05
AMD,2023-05-02,0.56,0.6,6.5
AMD,2023-01-31,0.67,0.69,2.51
AMD,2022-11-01,0.7,0.67,-4.83
AMD,2022-08-02,1.04,1.05,1.37
AMD,2022-05-03,0.92,1.13,22.23
AMD,2022-02-01,0.76,0.92,21.38
AMD,2021-10-26,0.66,0.73,10.04
AMD,2021-07-27,0.54,0.63,16.95
AMD,2021-04-27,0.44,0.52,18.31
AMD,2021-01-26,0.48,0.52,9.46
AMD,2020-10-27,0.36,0.41,15.49
AMD,2020-07-28,0.17,0.18,8.78
AMD,2020-04-28,0.18,0.18,-2.32
INTC,2026-04-23,0.01,,
INTC,2026-01-22,0.08,0.15,81.51
INTC,2025-10-23,0.01,0.23,3121.29
INTC,2025-07-24,0.01,-0.1,-1280.64
INTC,2025-04-24,,0.13,2769.76
INTC,2025-01-30,0.12,0.13,8.71
INTC,2024-10-31,-0.03,-0.46,-1533.52
INTC,2024-08-01,0.1,0.02,-80.18
INTC,2024-04-25,0.14,0.18,31.74
INTC,2024-01-25,0.45,0.54,20.29
INTC,2023-10-26,0.22,0.41,87.04
INTC,2023-07-27,-0.03,0.13,546.43
INTC,2023-04-27,-0.14,-0.04,72.19
INTC,2023-01-26,0.2,0.1,-50.48
INTC,2022-10-27,0.33,0.59,80.04
INTC,2022-07-28,0.7,0.29,-58.29
INTC,2022-04-28,0.8,0.87,9.16
INTC,2022-01-26,0.91,1.09,19.78
INTC,2021-10-21,1.11,1.71,53.61
INTC,2021-07-22,1.07,1.28,19.28
INTC,2021-04-22,1.14,1.39,21.71
INTC,2021-01-21,1.11,1.52,36.91
INTC,2020-10-22,1.11,1.11,0.23
INTC,2020-07-23,1.11,1.23,10.61
INTC,2020-04-23,1.26,1.45,14.95
TSLA,2026-04-22,0.36,,
TSLA,2026-01-28,0.35,0.24,-30.77
TSLA,2025-10-22,0.56,0.5,-10.53
TSLA,2025-07-23,0.3,0.33,10.49
TSLA,2025-04-22,0.35,0.12,-65.25
TSLA,2025-01-29,0.77,0.73,-4.83
TSLA,2024-10-23,0.5,0.62,24.76
TSLA,2024-07-23,0.62,0.52,-16.15
TSLA,2024-04-23,0.49,0.45,-8.14
TSLA,2024-01-24,0.74,0.71,-4.1
TSLA,2023-10-18,0.73,0.66,-9.81
TSLA,2023-07-19,0.82,0.91,11.12
TSLA,2023-04-19,0.85,0.85,-0.43
TSLA,2023-01-25,1.11,1.19,7.2
TSLA,2022-10-19,1.0,1.05,5.23
TSLA,2022-07-20,0.6,0.76,26.89
TSLA,2022-04-20,0.75,1.07,42.31
TSLA,2022-01-26,0.79,0.85,6.88
TSLA,2021-10-20,0.54,0.62,15.22
TSLA,2021-07-26,0.32,0.48,49.86
TSLA,2021-04-26,0.26,0.31,19.42
TSLA,2021-01-27,0.35,0.27,-23.91
TSLA,2020-10-21,0.2,0.25,25.78
TSLA,2020-07-22,-0.01,0.15,1460.77
TSLA,2020-04-29,-0.01,0.08,650.29
NFLX,2026-07-16,0.84,,
NFLX,2026-04-16,0.77,1.23,59.92
NFLX,2026-01-20,0.55,0.56,1.5
NFLX,2025-10-21,0.7,0.59,-15.79
NFLX,2025-07-17,0.71,0.72,1.95
NFLX,2025-04-17,0.57,0.66,16.37
NFLX,2025-01-21,0.42,0.43,1.41
NFLX,2024-10-17,0.51,0.54,5.32
NFLX,2024-07-18,0.48,0.49,2.47
NFLX,2024-04-18,0.45,0.53,16.66
NFLX,2024-01-23,0.22,0.21,-5.47
NFLX,2023-10-18,0.35,0.37,7.07
NFLX,2023-07-19,0.29,0.33,15.15
NFLX,2023-04-18,0.29,0.29,0.61
NFLX,2023-01-19,0.05,0.01,-76.58
NFLX,2022-10-18,0.21,0.31,45.21
NFLX,2022-07-19,0.29,0.32,8.75
NFLX,2022-04-19,0.29,0.35,21.17
NFLX,2022-01-20,0.08,0.13,61.49
NFLX,2021-10-19,0.26,0.32,24.75
NFLX,2021-07-20,0.32,0.3,-5.91
NFLX,2021-04-20,0.3,0.38,25.48
NFLX,2021-01-19,0.14,0.12,-15.07
NFLX,2020-10-20,0.21,0.17,-18.71
NFLX,2020-07-16,0.18,0.16,-13.13
ORCL,2026-06-10,1.96,,
ORCL,2026-03-10,1.23,1.27,3.36
ORCL,2025-12-10,1.64,2.26,38.04
ORCL,2025-09-09,1.05,1.01,-3.74
ORCL,2025-06-11,1.64,1.7,3.37
ORCL,2025-03-10,1.06,1.02,-4.1
ORCL,2024-12-09,1.48,1.47,-0.77
ORCL,2024-09-09,1.33,1.39,4.29
ORCL,2024-06-11,1.65,1.63,-1.14
ORCL,2024-03-11,1.38,1.41,2.47
ORCL,2023-12-11,1.33,1.34,0.95
ORCL,2023-09-11,1.15,1.19,3.46
ORCL,2023-06-12,1.58,1.67,5.56
ORCL,2023-03-09,1.2,1.22,1.44
ORCL,2022-12-12,1.17,1.21,3.15
ORCL,2022-09-12,1.08,1.03,-4.22
ORCL,2022-06-13,1.38,1.54,11.95
ORCL,2022-03-10,1.18,1.13,-4.02
ORCL,2021-12-09,1.11,1.21,8.53
ORCL,2021-09-13,0.97,1.03,6.4
ORCL,2021-06-15,1.33,1.54,15.62
ORCL,2021-03-10,1.11,1.16,4.54
ORCL,2020-12-10,1.0,1.06,6.13
ORCL,2020-09-10,0.86,0.93,7.77
ORCL,2020-06-16,1.15,1.2,4.16
CRM,2026-05-27,3.12,,
CRM,2026-02-25,3.05,3.81,24.85
CRM,2025-12-03,1.62,2.19,34.85
CRM,2025-09-03,2.78,2.91,4.7
CRM,2025-05-28,2.55,2.58,1.31
CRM,2025-02-26,2.61,2.78,6.43
CRM,2024-12-03,2.45,2.41,-1.47
CRM,2024-08-28,2.36,2.56,8.63
CRM,2024-05-29,2.37,2.44,2.75
CRM,2024-02-28,2.27,2.29,0.96
CRM,2023-11-29,2.06,2.11,2.52
CRM,2023-08-30,1.9,2.12,11.45
CRM,2023-05-31,1.61,1.69,4.84
CRM,2023-03-01,1.36,1.68,23.43
CRM,2022-11-30,1.22,1.4,14.55
CRM,2022-08-24,1.03,1.19,15.75
CRM,2022-05-31,0.94,0.98,3.73
CRM,2022-03-01,0.75,0.84,11.85
CRM,2021-11-30,0.92,1.27,37.89
CRM,2021-08-25,0.93,1.48,59.49
CRM,2021-05-27,0.88,1.21,36.96
CRM,2021-02-25,0.75,1.04,38.5
CRM,2020-12-01,0.75,1.74,132.27
CRM,2020-08-25,0.67,1.44,115.91
CRM,2020-05-28,0.69,0.7,0.74
ADBE,2026-06-11,5.83,,
ADBE,2026-03-12,5.87,6.06,3.18
ADBE,2025-12-10,4.28,4.45,3.87
ADBE,2025-09-11,5.18,5.31,2.48
ADBE,2025-06-12,4.97,5.06,1.71
ADBE,2025-03-12,4.97,5.08,2.17
ADBE,2024-12-11,4.67,4.81,3.01
ADBE,2024-09-12,4.54,4.65,2.49
ADBE,2024-06-13,3.38,3.49,3.34
ADBE,2024-03-14,4.38,4.48,2.23
ADBE,2023-12-13,4.14,4.27,3.17
ADBE,2023-09-14,3.98,4.1,3.06
ADBE,2023-06-15,3.79,3.91,3.22
ADBE,2023-03-15,3.68,3.8,3.25
ADBE,2022-12-15,3.5,3.6,2.72
ADBE,2022-09-15,3.34,3.4,1.66
ADBE,2022-06-16,3.31,3.35,1.31
ADBE,2022-03-22,3.34,3.37,0.78
ADBE,2021-12-16,3.2,3.2,0.04
ADBE,2021-09-21,3.02,3.11,3.11
ADBE,2021-06-17,2.82,3.03,7.55
ADBE,2021-03-23,2.79,3.14,12.68
ADBE,2020-12-10,2.66,2.81,5.66
ADBE,2020-09-15,2.41,2.57,6.56
ADBE,2020-06-11,2.32,2.45,5.68
QCOM,2026-04-29,2.55,,
QCOM,2026-02-04,3.4,3.5,2.87
QCOM,2025-11-05,2.88,3.0,4.32
QCOM,2025-07-30,2.71,2.77,2.05
QCOM,2025-04-30,2.82,2.85,1.19
QCOM,2025-02-05,2.99,3.41,14.2
QCOM,2024-11-06,2.57,2.69,4.74
QCOM,2024-07-31,2.26,2.33,3.32
QCOM,2024-05-01,2.32,2.44,5.31
QCOM,2024-01-31,2.37,2.75,16.1
QCOM,2023-11-01,1.91,2.02,5.93
QCOM,2023-08-02,1.81,1.87,3.35
QCOM,2023-05-03,2.16,2.15,-0.24
QCOM,2023-02-02,2.35,2.37,0.72
QCOM,2022-11-02,3.13,3.13,-0.13
QCOM,2022-07-27,2.87,2.96,3.13
QCOM,2022-04-27,2.92,3.21,10.08
QCOM,2022-02-02,3.0,3.23,7.59
QCOM,2021-11-03,2.26,2.55,12.82
QCOM,2021-07-28,1.68,1.92,14.11
QCOM,2021-04-28,1.67,1.9,14.09
QCOM,2021-02-03,2.1,2.17,3.27
QCOM,2020-11-04,1.18,1.45,22.83
QCOM,2020-07-29,0.71,0.86,20.56
QCOM,2020-04-29,0.8,0.88,9.65
TXN,2026-04-22,1.37,,
TXN,2026-01-27,1.28,1.31,2.46
TXN,2025-10-21,1.49,1.57,5.81
TXN,2025-07-22,1.37,1.41,3.2
TXN,2025-04-23,1.1,1.28,16.76
TXN,2025-01-23,1.23,1.3,5.51
TXN,2024-10-22,1.37,1.47,7.08
TXN,2024-07-23,1.19,1.17,-1.48
TXN,2024-04-23,1.08,1.22,13.13
TXN,2024-01-23,1.49,1.46,-2.1
TXN,2023-10-24,1.84,1.85,0.33
TXN,2023-07-25,1.76,1.87,6.06
TXN,2023-04-25,1.8,1.85,2.51
TXN,2023-01-24,2.03,2.19,7.92
TXN,2022-10-25,2.42,2.56,5.58
TXN,2022-07-26,2.15,2.52,17.26
TXN,2022-04-26,2.19,2.42,10.44
TXN,2022-01-25,1.96,2.33,18.97
TXN,2021-10-26,2.09,2.12,1.61
TXN,2021-07-21,1.85,2.1,13.62
TXN,2021-04-27,1.61,1.92,19.45
TXN,2021-01-26,1.34,1.86,38.01
TXN,2020-10-20,1.29,1.5,16.41
TXN,2020-07-21,0.92,1.57,71.15
TXN,2020-04-21,1.02,1.3,27.62
